#;NAME;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
368;J0834-4159;J0834-4159;NAN;NAN;NAN;55308.00;260.886;-1.036;128.57419583;-41.99333056;0.121118;4.28e-15;240.50;4.700;NAN;NAN;NAN;0.28;NAN;5.508;5.508;-0.100;-5.438;9.372;NAN;pksmb,htru_pks;NAN;
369;J0834-60;J0834-60;NAN;NAN;NAN;51401.10;276.075;-11.924;128.70833333;-60.58333333;0.384645;NAN;20.00;NAN;NAN;NAN;NAN;NAN;NAN;0.095;0.095;-0.020;-0.092;8.490;NAN;pkssw;NAN;
370;J0835-3707;J0835-3707;NAN;NAN;NAN;51137.00;257.076;1.990;128.76283333;-37.13097222;0.541404;9.78e-15;112.40;4.200;11.000;NAN;NAN;0.28;NAN;0.555;0.555;0.019;-0.541;8.624;NAN;pksmb,gbncc,htru_pks,pkshl;NAN;
371;B0833-45;J0835-4510;-49.680;29.900;3.500;51544.00;263.552;-2.787;128.83588121;-45.17635419;0.089328;1.25e-13;67.77;1.700;3.800;0.00;5000.00;1050.00;NAN;0.280;0.328;-0.014;-0.278;8.531;GRS:4FGL_J0835.3-4510[aab+22],SNR:Vela,G;mol1,FermiBlind,htru_pks,mol2,pks70;HE[hg73],HE[tfko75];
372;J0836-4233;J0836-4233;NAN;NAN;NAN;56290.00;261.537;-1.107;129.02437500;-42.55691667;0.738436;1.32e-15;180.00;14.000;25.910;NAN;NAN;0.13;NAN;3.609;3.609;-0.070;-3.569;9.031;NAN;htru_pks;NAN;
373;B0834+06;J0837+0610;2.000;51.000;NAN;48721.00;219.721;26.272;129.27350833;6.17071111;1.273768;6.80e-15;12.86;26.000;34.000;0.00;89.00;5.00;NAN;0.190;0.190;0.084;-0.109;8.631;NAN;misc,gb2,gb4,lotaas,mol2;NAN;
374;J0837-2454;J0837-2454;NAN;NAN;NAN;55588.63;247.575;9.775;129.49054167;-24.90833333;0.629410;3.49e-13;143.10;1.000;NAN;NAN;NAN;NAN;NAN;25.000;25.000;4.244;-22.774;17.898;NAN;htru_pks;NAN;
375;B0835-41;J0837-4135;11.000;-13.000;NAN;57600.00;260.904;-0.336;129.33830958;-41.58737861;0.751625;3.54e-15;147.20;4.400;18.000;0.00;197.00;35.00;NAN;1.500;1.421;-0.009;-1.481;8.737;NAN;mol1,htru_pks,mol2,pks70,pkshl,pksm;NAN;
376;J0838-2621;J0838-2621;NAN;NAN;NAN;53200.00;248.807;8.981;129.57833750;-26.35820833;0.308581;3.90e-17;116.90;7.800;36.000;NAN;NAN;0.50;NAN;4.101;4.101;0.640;-3.777;9.964;NAN;pkshl,gbncc,htru_pks;NAN;
377;J0838-3947;J0838-3947;NAN;NAN;NAN;51162.00;259.606;0.928;129.62833333;-39.78944444;1.703946;8.13e-16;219.00;57.000;NAN;NAN;NAN;0.11;NAN;5.095;5.095;0.083;-5.011;9.419;NAN;pksmb;NAN;
378;J0839-66;J0839-66;NAN;NAN;NAN;56012.00;281.441;-14.927;129.90416667;-66.58111111;0.449339;NAN;83.00;NAN;NAN;NAN;NAN;NAN;NAN;0.448;0.448;-0.115;-0.424;8.414;NAN;htru_pks;NAN;
379;B0839-53;J0840-5332;NAN;NAN;NAN;57600.00;270.774;-7.143;130.14052500;-53.54331944;0.720614;1.64e-15;156.50;23.000;32.000;0.00;19.00;1.70;NAN;0.566;0.566;-0.070;-0.562;8.492;NAN;mol2,ghrss,htru_pks,pks70,pkssw;NAN;
380;B0840-48;J0842-4851;NAN;NAN;NAN;57600.00;267.182;-4.101;130.52268458;-48.85572222;0.644354;9.56e-15;196.85;6.900;13.000;0.00;6.20;1.07;NAN;3.103;3.103;-0.222;-3.091;8.652;NAN;mol2,ghrss,htru_pks,pks70,pksmb;NAN;
381;J0843+0719;J0843+0719;NAN;NAN;NAN;52892.00;219.400;28.223;130.89091667;7.31327778;1.365860;NAN;36.60;23.000;NAN;NAN;NAN;NAN;NAN;2.068;2.068;0.978;-1.157;9.908;NAN;pkshl;NAN;
382;J0843-5022;J0843-5022;NAN;NAN;NAN;51500.00;268.496;-4.898;130.79118333;-50.37863889;0.208956;1.72e-16;178.47;5.500;11.000;NAN;NAN;0.70;NAN;1.573;1.573;-0.134;-1.567;8.541;NAN;pkssw,ghrss,htru_pks,pksmb;NAN;
383;B0844-35;J0846-3533;93.000;-15.000;NAN;57600.00;257.190;4.710;131.52516667;-35.56144444;1.116098;1.60e-15;94.16;19.000;75.000;0.00;16.00;5.00;NAN;0.536;0.536;0.044;-0.521;8.618;NAN;mol2,gbncc,htru_pks,pks70,pkshl,pks;NAN;
384;J0847-4316;J0847-4316;NAN;NAN;NAN;53816.00;263.444;0.158;131.98887500;-43.28244444;5.977493;1.20e-13;292.50;53.000;82.000;NAN;NAN;NAN;NAN;6.547;6.547;0.018;-6.504;9.247;NAN;pksmb;RRAT;
385;J0848+16;J0848+16;NAN;NAN;NAN;NAN;210.060;33.305;132.22083333;16.71666667;0.452400;NAN;38.00;8.800;35.600;NAN;NAN;NAN;NAN;2.283;2.283;1.254;-0.956;10.151;NAN;ar327,fast_gpps;NAN;
386;B0841+80;J0849+8028;NAN;NAN;NAN;49993.00;132.654;31.462;132.25628211;80.48308960;1.602228;4.46e-16;34.81;27.000;93.000;NAN;1.50;NAN;NAN;3.303;3.303;1.724;2.072;10.409;NAN;gb2,gbncc,lotaas;NAN;
387;J0849-6322;J0849-6322;NAN;NAN;NAN;51500.00;279.433;-12.171;132.42745833;-63.37638889;0.367953;7.91e-16;91.29;5.700;24.000;NAN;NAN;1.00;NAN;0.383;0.383;-0.081;-0.369;8.439;NAN;pkssw,htru_pks;NAN;
388;J0853-4648;J0853-4648;NAN;NAN;NAN;NAN;266.779;-1.349;133.33887500;-46.81558333;0.473156;NAN;304.00;NAN;NAN;NAN;NAN;NAN;NAN;6.919;6.919;-0.163;-6.906;8.889;NAN;mmgps-l;NAN;
389;J0854+5449;J0854+5449;NAN;NAN;NAN;58854.00;162.782;39.408;133.60718958;54.82466167;1.233033;3.12e-16;18.84;9.300;NAN;NAN;NAN;NAN;NAN;1.436;1.436;0.912;0.328;9.560;NAN;chime;NAN;
390;B0853-33;J0855-3331;NAN;NAN;NAN;49886.00;256.847;7.517;133.91005628;-33.52758448;1.267536;6.32e-15;86.64;19.000;29.000;0.00;7.70;0.60;NAN;0.503;0.503;0.066;-0.486;8.613;NAN;mol2,htru_pks,pks70,pkshl;NAN;
391;J0855-4644;J0855-4644;NAN;NAN;NAN;51368.00;266.967;-1.004;133.90075000;-46.73705556;0.064686;7.26e-15;236.40;5.100;NAN;NAN;NAN;0.28;NAN;5.638;5.638;-0.099;-5.629;8.798;SNR:RX_J0852.0-4622[rm05],PWN:[mav17],PW;pksmb,htru_pks;NAN;
392;J0855-4658;J0855-4658;NAN;NAN;NAN;51395.00;267.116;-1.193;133.83154167;-46.97294444;0.575072;1.36e-14;472.70;8.400;24.000;NAN;NAN;0.23;NAN;13.740;13.740;-0.286;-13.720;9.191;NAN;pksmb,htru_pks;NAN;
393;B0855-61;J0856-6137;NAN;NAN;NAN;57600.00;278.575;-10.427;134.24695833;-61.63130833;0.962511;1.68e-15;95.00;20.000;38.000;NAN;11.00;3.30;NAN;0.370;0.370;-0.067;-0.360;8.446;NAN;mol2,htru_pks,pks70,pkssw;NAN;
394;J0857+3349;J0857+3349;NAN;NAN;NAN;57876.00;190.141;39.736;134.27945833;33.82138889;0.242961;2.40e-16;24.00;6.300;22.300;NAN;0.40;NAN;NAN;1.567;1.567;1.002;-0.212;9.686;NAN;lotaas,ar327;NAN;
395;J0857-4424;J0857-4424;NAN;NAN;NAN;55335.00;265.457;0.822;134.48263333;-44.40295833;0.326786;2.09e-14;184.43;9.600;18.000;0.00;12.00;0.98;NAN;2.833;2.833;0.041;-2.824;8.724;NAN;pks70,htru_pks,pksmb;NAN;
396;J0901-4624;J0901-4624;NAN;NAN;NAN;51031.00;267.404;-0.004;135.41716667;-46.41347222;0.441995;8.75e-14;199.30;3.900;35.000;NAN;NAN;0.51;NAN;3.032;3.032;-0.000;-3.029;8.637;NAN;pksmb;NAN;
397;B0901-63;J0902-6325;NAN;NAN;NAN;43557.50;280.390;-11.082;135.63500000;-63.42000000;0.660313;1.07e-16;72.72;17.000;28.000;NAN;4.50;1.70;NAN;0.192;0.192;-0.037;-0.185;8.466;NAN;mol2,htru_pks,pkssw;NAN;
398;B0903-42;J0904-4246;NAN;NAN;NAN;57600.00;265.074;2.859;136.24617917;-42.77038889;0.965173;1.88e-15;145.80;9.400;31.000;0.00;8.00;0.60;NAN;0.675;0.675;0.034;-0.672;8.558;NAN;mol2,pks70,pksmb;NAN;
399;B0904-74;J0904-7459;NAN;NAN;NAN;57600.00;289.738;-18.320;136.04362500;-74.99491667;0.549554;4.61e-16;51.10;18.000;30.000;NAN;11.00;2.00;NAN;1.048;1.048;-0.329;-0.936;8.164;NAN;mol2,pks70;NAN;
400;J0905-4536;J0905-4536;NAN;NAN;NAN;48818.00;267.239;1.011;136.34958333;-45.61472222;0.988281;1.49e-16;196.20;32.000;190.000;0.00;13.00;1.10;NAN;2.912;2.912;0.051;-2.908;8.640;NAN;pks70,htru_pks,pksmb;NAN;
401;J0905-5127;J0905-5127;NAN;NAN;NAN;55341.00;271.633;-2.854;136.46650000;-51.46501389;0.346301;2.49e-14;196.43;8.100;11.000;0.00;12.00;1.05;NAN;1.330;1.330;-0.066;-1.328;8.462;NAN;pks70,ghrss,htru_pks,pksmb;NAN;
402;J0905-6019;J0905-6019;NAN;NAN;NAN;55191.00;278.222;-8.816;136.31352083;-60.32279444;0.340854;5.22e-16;91.40;6.300;13.000;NAN;NAN;0.30;NAN;0.359;0.359;-0.055;-0.351;8.449;NAN;htru_pks;NAN;
403;B0905-51;J0907-5157;NAN;NAN;NAN;57600.00;272.151;-3.031;136.81625417;-51.96648889;0.253558;1.83e-15;103.72;13.000;23.000;0.00;35.00;17.00;NAN;0.341;0.341;-0.018;-0.340;8.487;NAN;mol2,ghrss,htru_pks,pks1,pks70,pksm;NAN;
404;B0906-17;J0908-1739;27.000;-40.000;NAN;48737.00;246.119;19.850;137.15909250;-17.66046389;0.401626;6.69e-16;15.88;8.600;22.000;0.00;16.00;4.00;NAN;0.805;0.805;0.273;-0.692;8.807;NAN;mol2,gb2,pks70,pkshl;NAN;
405;B0906-49;J0908-4913;-37.000;31.000;NAN;57600.00;270.265;-1.019;137.14775000;-49.21805556;0.106769;1.51e-14;180.44;2.400;4.400;0.00;28.00;20.00;NAN;1.000;1.027;-0.018;-1.000;8.495;GRS:4FGL_J0908.7-4911[aab+22],PWN:[gsfj9;misc,FermiAssoc,htru_pks,pks1,pks70;HE[dmd+88],HE[aab+22];
406;B0909-71;J0909-7212;NAN;NAN;NAN;57600.00;287.728;-16.256;137.39920833;-72.20248333;1.362890;3.27e-16;54.30;13.000;84.000;NAN;6.50;1.90;NAN;0.752;0.752;-0.211;-0.688;8.280;NAN;mol2,pks70;NAN;
407;B0904+77;J0910+77;NAN;NAN;NAN;39856.00;135.325;33.704;137.50000000;77.46666667;1.579050;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;NAN;misc;NAN;
408;J0911-42;J0911-42;NAN;NAN;NAN;NAN;265.839;3.845;137.93750000;-42.66666667;1.940636;NAN;162.20;30.300;NAN;NAN;NAN;0.05;NAN;1.404;1.404;0.094;-1.397;8.602;NAN;pksmb;NAN;
409;J0912-3851;J0912-3851;NAN;NAN;NAN;55093.00;263.165;6.584;138.17791667;-38.85083333;1.526085;3.59e-15;71.50;37.000;45.000;NAN;NAN;0.10;NAN;0.346;0.346;0.040;-0.341;8.541;NAN;htru_pks,gbncc;RRAT;
410;J0916-5243;J0916-5243;NAN;NAN;NAN;NAN;273.637;-2.563;139.03812500;-52.72900000;1.310444;NAN;162.60;NAN;NAN;NAN;NAN;NAN;NAN;0.539;0.539;-0.024;-0.537;8.466;NAN;mmgps-l;NAN;
411;J0917-4413;J0917-4413;NAN;NAN;NAN;NAN;267.735;3.573;139.46837083;-44.22233333;0.052905;NAN;123.80;NAN;NAN;NAN;NAN;NAN;NAN;0.556;0.556;0.035;-0.554;8.522;NAN;mmgps-l;NAN;
412;J0919-42;J0919-42;NAN;NAN;NAN;56657.00;266.285;5.274;139.75000000;-42.00000000;0.812600;NAN;57.80;NAN;NAN;NAN;NAN;NAN;NAN;0.329;0.329;0.030;-0.327;8.521;NAN;ghrss;NAN;
413;J0919-6040;J0919-6040;NAN;NAN;NAN;55190.00;279.687;-7.774;139.86612500;-60.68066667;1.216976;1.00e-17;82.50;26.000;44.000;NAN;NAN;0.20;NAN;0.355;0.355;-0.048;-0.347;8.441;NAN;htru_pks;NAN;
414;B0917+63;J0921+6254;NAN;NAN;NAN;49687.00;151.431;40.725;140.30889747;62.90386409;1.567994;3.61e-15;13.15;38.000;49.400;NAN;5.00;0.50;NAN;1.003;1.003;0.654;0.364;9.168;NAN;gb2,gb4,lotaas;NAN;
415;B0919+06;J0922+0638;18.800;86.400;0.830;48227.00;225.420;36.392;140.55842500;6.63980556;0.430627;1.37e-14;27.30;11.400;25.400;0.00;52.00;10.00;NAN;1.100;1.912;0.653;-0.631;9.122;GRS:4FGL_J0922.3+0644[aab+22],XRS:[pb15];mol2,FermiBlind,ar327,ar4,gb4,lotaa;HE[aab+22];
416;J0922-4534;J0922-4534;NAN;NAN;NAN;NAN;269.250;3.173;140.56895833;-45.57805556;0.004417;NAN;113.93;NAN;NAN;NAN;NAN;NAN;NAN;0.534;0.534;0.030;-0.533;8.507;NAN;mmgps-l;NAN;
417;J0922-4949;J0922-4949;NAN;NAN;NAN;51279.00;272.237;0.160;140.56233750;-49.82002222;0.950289;9.76e-14;237.10;2.800;26.000;NAN;NAN;0.52;NAN;2.698;2.698;0.008;-2.696;8.395;NAN;pksmb,htru_pks;NAN;
418;J0923-31;J0923-31;NAN;NAN;NAN;NAN;259.697;13.003;140.99166667;-31.95000000;NAN;NAN;72.00;NAN;NAN;NAN;NAN;NAN;NAN;0.382;0.382;0.086;-0.366;8.567;NAN;pkssw;RRAT;
419;B0922-52;J0924-5302;NAN;NAN;NAN;57600.00;274.712;-1.930;141.03634167;-53.04516667;0.746338;3.53e-14;152.90;4.400;23.000;0.00;12.00;1.10;NAN;0.513;0.513;-0.017;-0.511;8.458;NAN;mol2,ghrss,htru_pks,pks1,pks70,pksm;NAN;
420;B0923-58;J0924-5814;NAN;NAN;NAN;57600.00;278.394;-5.595;141.12841667;-58.23475000;0.739505;4.92e-15;57.40;43.000;82.000;0.00;22.00;6.00;NAN;0.107;0.107;-0.010;-0.105;8.484;NAN;mol2,htru_pks,pks70,pksmb;NAN;
421;J0927+2345;J0927+2345;NAN;NAN;NAN;53400.00;205.286;44.202;141.93858333;23.75297222;0.761889;3.05e-16;17.24;17.500;31.600;NAN;1.00;0.06;NAN;1.091;1.091;0.761;-0.334;9.207;NAN;ar4,ar327;NAN;
422;J0927-5242;J0927-5242;NAN;NAN;NAN;NAN;274.811;-1.360;141.81191667;-52.70516667;0.327951;NAN;296.00;NAN;NAN;NAN;NAN;NAN;NAN;3.314;3.314;-0.079;-3.301;8.222;NAN;mmgps-l;NAN;
423;J0928+06;J0928+06;NAN;NAN;NAN;NAN;226.854;37.601;142.18333333;6.23333333;2.060400;NAN;49.80;25.200;43.300;NAN;NAN;NAN;NAN;25.000;25.000;15.254;-14.451;22.045;NAN;ar327,gbncc,fast_gpps;NAN;
424;J0928+30;J0928+30;NAN;NAN;NAN;NAN;195.838;45.915;142.25000000;30.63333333;2.091500;NAN;21.95;29.600;54.100;NAN;NAN;NAN;NAN;2.037;2.037;1.463;-0.387;9.863;NAN;misc,ar327,lotaas;NAN;
425;J0930-1854;J0930-1854;NAN;NAN;NAN;NAN;250.760;23.019;142.64695833;-18.90863889;NAN;NAN;33.00;1.500;NAN;NAN;NAN;NAN;NAN;2.477;2.477;0.969;-2.152;9.251;NAN;meerkat_trapum;RRAT(?)[bbc+22];
426;J0930-2301;J0930-2301;NAN;NAN;NAN;57254.00;253.932;20.138;142.51175000;-23.02916667;1.807069;3.36e-15;78.30;46.000;60.000;NAN;NAN;NAN;NAN;25.000;25.000;8.607;-22.555;14.997;NAN;gbncc;NAN;
427;J0931-1902;J0931-1902;-2.465;-4.312;0.700;57136.00;250.999;23.054;142.82965478;-19.04861884;0.004638;3.63e-21;41.49;0.450;1.400;NAN;NAN;0.52;NAN;3.722;3.722;1.458;-3.238;9.615;GRS:4FGL_J0931.2-1906[aab+22];gbt350,FermiBlind,gbncc;HE[abb+15],HE[aab+22];
428;J0932-3217;J0932-3217;NAN;NAN;NAN;51500.00;261.277;14.069;143.16312500;-32.28727778;1.931627;2.50e-16;102.10;13.400;41.000;NAN;NAN;0.30;NAN;0.414;0.414;0.101;-0.397;8.561;NAN;pkssw,gbncc,htru_pks;NAN;
429;J0932-5327;J0932-5327;NAN;NAN;NAN;53099.00;275.885;-1.375;143.09525000;-53.45305556;4.392159;8.37e-15;118.56;69.000;93.000;NAN;NAN;0.15;NAN;0.359;0.359;-0.009;-0.357;8.463;NAN;pksmb,htru_pks;NAN;
430;J0933-4604;J0933-4604;NAN;NAN;NAN;NAN;271.059;4.207;143.46720833;-46.07977778;3.669910;NAN;123.00;NAN;NAN;NAN;NAN;NAN;NAN;0.518;0.518;0.038;-0.517;8.490;NAN;mmgps-l;NAN;
431;J0934-4154;J0934-4154;NAN;NAN;NAN;51650.00;268.361;7.411;143.74250000;-41.90541667;0.570409;2.69e-16;113.79;12.000;27.000;NAN;NAN;0.30;NAN;0.530;0.530;0.068;-0.525;8.515;NAN;pkssw;NAN;
432;B0932-52;J0934-5249;NAN;NAN;NAN;57600.00;275.690;-0.700;143.61765417;-52.82425000;1.444777;4.65e-15;100.00;24.000;42.000;0.00;18.00;3.20;NAN;0.349;0.349;-0.004;-0.347;8.465;NAN;mol2,ghrss,htru_pks,pks1,pks70,pksm;NAN;
433;J0935+33;J0935+33;NAN;NAN;NAN;NAN;192.376;47.511;143.77500000;33.18333333;0.961500;NAN;18.35;40.800;74.700;NAN;NAN;NAN;NAN;1.728;1.728;1.274;-0.250;9.640;NAN;misc,ar327,lotaas;NAN;
434;J0936-4750;J0936-4750;NAN;NAN;NAN;NAN;272.605;3.230;144.17325000;-47.84183333;0.522581;NAN;113.00;NAN;NAN;NAN;NAN;NAN;NAN;0.355;0.355;0.020;-0.354;8.484;NAN;mmgps-l;NAN;
435;J0940-5428;J0940-5428;NAN;NAN;NAN;51091.00;277.510;-1.292;145.24258333;-54.47794444;0.087545;3.29e-14;134.55;2.800;10.000;NAN;NAN;0.66;NAN;0.377;0.377;-0.009;-0.374;8.451;GRS:4FGL_J0941.1-5429[aab+22];pksmb,FermiAssoc;HE[mlc+01],HE[aab+22];
436;J0941-39;J0941-39;NAN;NAN;NAN;54831.00;267.795;9.904;145.40833333;-39.68333333;0.586778;NAN;78.00;NAN;NAN;NAN;NAN;NAN;NAN;0.356;0.356;0.061;-0.350;8.513;NAN;pkssw,htru_pks;RRAT;
437;J0941-5244;J0941-5244;NAN;NAN;NAN;48930.00;276.446;0.092;145.42144583;-52.73457778;0.658558;1.14e-15;157.94;17.000;24.000;NAN;11.00;0.50;NAN;0.397;0.397;0.001;-0.394;8.455;NAN;pks70,htru_pks,pksmb;NAN;
438;B0940-55;J0942-5552;NAN;NAN;NAN;57600.00;278.569;-2.232;145.56200000;-55.88197222;0.664389;2.27e-14;180.16;9.700;46.000;0.00;55.00;11.00;NAN;0.300;0.415;-0.012;-0.296;8.455;NAN;mol1,htru_pks,mol2,pks1,pks70,pksmb;NAN;
439;B0941-56;J0942-5657;-12.000;12.000;NAN;57600.00;279.345;-2.990;145.72676667;-56.96200278;0.808164;3.96e-14;159.74;4.700;13.000;NAN;13.00;1.00;NAN;0.406;0.406;-0.021;-0.400;8.434;NAN;mol2,htru_pks,pks1,pks70,pksmb;NAN;
440;B0940+16;J0943+1631;23.000;9.000;NAN;48865.00;216.609;45.380;145.87541667;16.52694444;1.087418;9.11e-17;20.34;55.000;144.000;NAN;7.00;1.30;NAN;1.487;1.487;1.058;-0.623;9.338;NAN;mol2,ar4,lotaas;NAN;
441;J0943+2253;J0943+2253;NAN;NAN;NAN;53400.00;207.887;47.458;145.88498958;22.88490556;0.532975;8.98e-17;27.25;10.200;18.500;NAN;5.50;0.39;NAN;3.554;3.554;2.619;-1.124;10.624;NAN;ar4,ar327,lotaas;NAN;
442;J0943-5305;J0943-5305;NAN;NAN;NAN;58925.00;276.842;-0.033;145.78333333;-53.08805556;1.734000;NAN;174.00;8.700;NAN;NAN;NAN;NAN;NAN;0.444;0.444;-0.000;-0.441;8.447;NAN;meerkat_trapum;RRAT(?)[bbc+22];
443;J0944+4106;J0944+4106;NAN;NAN;NAN;56350.00;180.437;49.375;146.07557733;41.10126386;2.229431;4.42e-15;21.40;8.300;10.500;NAN;NAN;NAN;NAN;2.670;2.670;2.026;-0.013;10.238;NAN;gbncc,lotaas,fast_gpps;NAN;
444;B0942-13;J0944-1354;-1.000;-22.000;NAN;49337.00;249.129;28.843;146.12064958;-13.91156389;0.570264;4.53e-17;12.50;7.800;11.000;NAN;26.00;0.60;NAN;0.686;0.686;0.331;-0.561;8.714;NAN;mol2,gb2,gb3,pks70,pkshl;NAN;
445;J0945-4833;J0945-4833;NAN;NAN;NAN;51703.00;274.199;3.674;146.40939167;-48.55402778;0.331586;4.83e-15;98.10;4.500;11.000;NAN;NAN;0.39;NAN;0.352;0.352;0.023;-0.350;8.474;NAN;pksmb,htru_pks;NAN;
446;B0943+10;J0946+0951;-38.000;-21.000;NAN;48483.00;225.413;43.126;146.53166667;9.86527778;1.097706;3.49e-15;15.32;40.800;70.900;0.00;4.00;NAN;NAN;0.892;0.892;0.610;-0.464;8.957;XRS:[zsp05];misc,gb2,lotaas;NAN;
447;J0947+2740;J0947+2740;NAN;NAN;NAN;53400.00;201.142;49.384;146.83869583;27.67875000;0.851014;4.30e-16;29.09;36.200;53.600;NAN;1.00;0.13;NAN;25.000;25.000;18.977;-5.870;23.679;NAN;ar4,ar327,gbncc,lotaas;NAN;
448;J0948-5549;J0948-5549;NAN;NAN;NAN;NAN;279.168;-1.646;147.05116667;-55.82136111;0.166095;NAN;178.00;NAN;NAN;NAN;NAN;NAN;NAN;0.416;0.416;-0.012;-0.411;8.434;NAN;mmgps-l;NAN;
449;J0949-6902;J0949-6902;NAN;NAN;NAN;55195.00;287.826;-11.702;147.33569583;-69.04488889;0.640016;6.37e-16;93.00;5.000;15.000;NAN;NAN;0.30;NAN;1.678;1.678;-0.340;-1.564;7.997;NAN;htru_pks;NAN;
450;J0951-71;J0951-71;NAN;NAN;NAN;54810.00;289.469;-13.321;147.85000000;-71.31694444;0.212378;NAN;77.00;NAN;NAN;NAN;NAN;NAN;NAN;1.516;1.516;-0.349;-1.391;8.008;NAN;htru_pks;NAN;
451;B0950-38;J0952-3839;NAN;NAN;NAN;43557.59;268.702;12.033;148.07166667;-38.65283333;1.373815;5.80e-16;162.88;31.000;70.000;0.00;8.50;4.00;NAN;0.523;0.523;0.109;-0.511;8.512;NAN;mol2,gbncc,htru_pks,pks70,pkssw;NAN;
452;B0950+08;J0953+0755;-2.090;29.460;3.820;46375.00;228.908;43.697;148.28879042;7.92659722;0.253065;2.30e-16;2.97;8.600;21.000;0.00;400.00;100.00;NAN;0.261;0.187;0.180;-0.142;8.624;NAN;misc,ar4,gb4,lotaas,mol2,pkshl;HE[bwt+04];
453;J0954-5430;J0954-5430;NAN;NAN;NAN;55323.00;278.998;-0.101;148.52519167;-54.51467222;0.472851;4.39e-14;201.57;11.000;18.000;NAN;NAN;0.51;NAN;0.433;0.433;-0.001;-0.428;8.432;NAN;pksmb,htru_pks;NAN;
454;B0953-52;J0955-5304;NAN;NAN;NAN;57600.00;278.264;1.159;148.87275417;-53.07128889;0.862122;3.53e-15;156.90;4.200;30.000;0.00;29.00;0.94;NAN;0.401;0.401;0.008;-0.397;8.442;NAN;mol2,ghrss,htru_pks,pks70,pksmb;NAN;
455;J0957-06;J0957-06;NAN;NAN;NAN;56657.00;244.762;36.201;149.25000000;-6.28333333;1.723700;NAN;26.95;NAN;NAN;NAN;NAN;NAN;NAN;2.461;2.461;1.454;-1.796;9.347;NAN;gbt350;RRAT;
456;J0957-0619;J0957-0619;NAN;NAN;NAN;57220.00;244.830;36.199;149.28383333;-6.32708333;1.723712;1.49e-16;27.30;NAN;NAN;NAN;NAN;NAN;NAN;2.525;2.525;1.491;-1.844;9.367;NAN;misc;NAN;
457;J0957-5432;J0957-5432;NAN;NAN;NAN;51035.00;279.448;0.227;149.48337500;-54.53441667;0.203557;1.95e-15;226.10;3.200;6.400;NAN;NAN;0.18;NAN;0.449;0.449;0.002;-0.443;8.426;NAN;pksmb;NAN;
458;B0957-47;J0959-4809;NAN;NAN;NAN;57600.00;275.742;5.418;149.85921667;-48.16318611;0.670086;8.47e-17;92.70;98.000;120.000;NAN;16.00;4.00;NAN;0.361;0.361;0.034;-0.358;8.464;NAN;mol2,htru_pks,pks70,pkssw;NAN;
459;J1000+08;J1000+08;NAN;NAN;NAN;56654.00;229.732;45.498;150.15833333;8.33277778;0.440372;NAN;21.00;NAN;NAN;NAN;NAN;NAN;NAN;1.741;1.741;1.242;-0.931;9.289;NAN;htru_pks;NAN;
460;J1000-5149;J1000-5149;NAN;NAN;NAN;51368.00;278.107;2.603;150.11725417;-51.83281111;0.255677;9.59e-16;72.80;4.500;8.700;NAN;NAN;0.26;NAN;0.127;0.127;0.006;-0.126;8.482;NAN;pksmb,htru_pks;NAN;
461;B0959-54;J1001-5507;NAN;NAN;NAN;57600.00;280.226;0.084;150.40770833;-55.11883333;1.436631;5.16e-14;130.32;9.800;27.000;0.00;80.00;10.00;NAN;0.300;0.408;0.000;-0.295;8.447;NAN;mol1,htru_pks,mol2,pks1,pks70,pksmb;NAN;
462;J1001-5559;J1001-5559;NAN;NAN;NAN;51172.00;280.691;-0.648;150.28583333;-55.98338889;1.661177;8.60e-16;159.30;13.000;55.000;NAN;NAN;1.40;NAN;0.432;0.432;-0.005;-0.424;8.420;NAN;pksmb,htru_pks;NAN;
463;J1001-5603;J1001-5603;NAN;NAN;NAN;NAN;280.726;-0.708;150.27070833;-56.05277778;0.379533;NAN;235.30;NAN;NAN;NAN;NAN;NAN;NAN;0.784;0.784;-0.010;-0.770;8.354;NAN;mmgps-l;NAN;
464;J1001-5939;J1001-5939;NAN;NAN;NAN;53069.00;282.945;-3.548;150.38429167;-59.65494444;7.733640;5.99e-14;113.00;30.000;136.000;NAN;NAN;0.15;NAN;1.240;1.240;-0.077;-1.206;8.223;NAN;pksmb,htru_pks;NAN;
465;J1002-5559;J1002-5559;NAN;NAN;NAN;51035.00;280.901;-0.503;150.74125000;-55.99361111;0.777501;1.57e-15;426.00;25.000;NAN;NAN;NAN;0.12;NAN;3.270;3.270;-0.029;-3.211;7.882;NAN;pksmb;NAN;
466;J1002-5919;J1002-5919;NAN;NAN;NAN;56677.00;282.829;-3.224;150.58541667;-59.32700000;0.713489;1.04e-16;347.00;15.000;69.100;NAN;NAN;0.17;NAN;3.171;3.171;-0.178;-3.087;7.797;NAN;htru_pks;NAN;
