#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
800;J1519-6308;NAN;NAN;NAN;52144.00;318.743;-4.896;229.78983333;-63.13875000;1.254052;5.96e-15;250.00;NAN;NAN;0.32;NAN;12.367;-1.055;-8.125;-0.763;NAN;pksmb,htru_pks;
801;J1522-5525;NAN;NAN;NAN;51097.00;323.231;1.397;230.52791667;-55.42152778;1.389605;3.30e-15;79.00;NAN;NAN;0.25;NAN;2.000;0.049;-1.197;6.898;NAN;pksmb,htru_pks;
802;J1522-5735;NAN;NAN;NAN;55250.00;322.052;-0.415;230.52208333;-57.58333333;0.102136;3.12e-14;NAN;NAN;NAN;0.00;NAN;NAN;-0.000;-0.000;8.500;SNR:G321.9-0.3(?)[pga+13],GRS:3FGL_J1521;FermiBlind;
803;J1522-5829;NAN;NAN;NAN;57600.00;321.630;-1.215;230.67601667;-58.48411528;0.395354;2.06e-15;199.90;0.00;NAN;6.00;NAN;3.882;-0.082;-2.409;5.457;NAN;pks1,pksmb,htru_pks;
804;J1524-5625;NAN;NAN;NAN;51733.00;323.000;0.351;231.20775000;-56.42316667;0.078219;3.90e-14;152.20;NAN;NAN;1.28;NAN;3.378;0.021;-2.033;5.802;NAN;pksmb,htru_pks;
805;J1524-5706;NAN;NAN;NAN;55383.00;322.568;-0.186;231.08925000;-57.10962222;1.116174;3.56e-13;832.00;NAN;NAN;0.45;NAN;7.434;-0.024;-4.519;2.597;NAN;pksmb,htru_pks;
806;J1524-5819;NAN;NAN;NAN;54174.80;321.907;-1.201;231.10270833;-58.32058333;0.961043;1.26e-13;406.60;NAN;NAN;0.09;NAN;7.546;-0.158;-4.654;2.563;NAN;pksmb;
807;J1525-5417;NAN;NAN;NAN;51463.00;324.258;2.078;231.36812500;-54.28888889;1.011694;1.62e-14;235.00;NAN;NAN;0.18;NAN;4.880;0.177;-2.849;4.542;NAN;pksmb,htru_pks;
808;J1525-5523;NAN;NAN;NAN;55682.00;323.662;1.151;231.40026667;-55.39088889;0.355156;8.96e-18;124.70;NAN;NAN;0.21;NAN;3.132;0.063;-1.856;5.978;NAN;htru_pks;
809;J1525-5605;NAN;NAN;NAN;51467.00;323.286;0.565;231.42270833;-56.08694444;0.280349;1.16e-16;338.00;NAN;NAN;0.25;NAN;5.117;0.050;-3.059;4.398;NAN;pksmb,htru_pks;
810;J1526-5633;NAN;NAN;NAN;51490.00;323.136;0.093;231.67166667;-56.56194444;0.301888;1.23e-16;329.00;NAN;NAN;0.11;NAN;4.796;0.008;-2.877;4.663;NAN;pksmb;
811;J1527-3931;NAN;NAN;NAN;57600.00;333.050;14.020;231.99511667;-39.52616667;2.417605;1.91e-14;49.00;NAN;11.00;NAN;NAN;1.708;0.414;-0.751;7.023;NAN;mol2,pks70,pkssw,htru_pks;
812;J1527-5552;NAN;NAN;NAN;57600.00;323.638;0.590;231.91972500;-55.86898667;1.048719;1.13e-14;362.70;0.00;17.00;0.84;NAN;5.320;0.055;-3.154;4.216;NAN;mol2,pks70,pksmb,htru_pks;
813;J1528-4109;NAN;NAN;NAN;51500.00;332.106;12.671;232.03347083;-41.15800000;0.526556;3.96e-16;89.50;NAN;NAN;0.60;NAN;5.453;1.196;-2.489;3.798;NAN;pkssw,htru_pks;
814;J1528-5547;NAN;NAN;NAN;55839.00;323.796;0.579;232.16325000;-55.78972222;3.467302;7.75e-15;269.00;NAN;NAN;0.07;NAN;4.471;0.045;-2.641;4.892;NAN;htru_pks;
815;J1528-5838;NAN;NAN;NAN;55806.00;322.166;-1.752;232.10125000;-58.63361111;0.355687;2.48e-14;NAN;NAN;NAN;NAN;NAN;NAN;-0.000;-0.000;8.500;GRS:3FGL_J1528.3-5836[aaa+15];FermiBlind;
816;J1529+40;NAN;NAN;NAN;NAN;66.183;54.907;232.30000000;40.81666667;0.476400;NAN;6.61;NAN;NAN;NAN;NAN;0.499;0.408;0.262;8.384;NAN;misc,lotaas;
817;J1529-5355;NAN;NAN;NAN;51485.00;325.006;2.009;232.49000000;-53.92666667;0.891265;8.10e-16;292.00;NAN;NAN;0.37;NAN;6.240;0.219;-3.576;3.391;NAN;pksmb,htru_pks;
818;J1529-5611;NAN;NAN;NAN;51311.00;323.678;0.173;232.39916667;-56.19138889;0.822249;4.10e-15;149.00;NAN;NAN;0.14;NAN;3.321;0.010;-1.967;5.824;NAN;pksmb,htru_pks;
819;J1530-5327;NAN;NAN;NAN;55431.00;325.328;2.347;232.61205000;-53.46556111;0.278958;4.68e-15;49.60;NAN;NAN;0.92;NAN;1.123;0.046;-0.638;7.577;NAN;pksmb,htru_pks;
820;J1530-6343;NAN;NAN;NAN;56093.00;319.506;-6.101;232.69836667;-63.72044444;0.910320;8.25e-16;206.00;NAN;NAN;0.37;NAN;11.447;-1.217;-7.391;-0.156;NAN;htru_pks;
821;J1531-4012;NAN;NAN;NAN;51500.00;333.147;13.113;232.78354167;-40.20858333;0.356849;9.63e-17;106.65;NAN;NAN;0.40;NAN;9.528;2.162;-4.192;0.221;NAN;pkssw;
822;J1531-5610;NAN;NAN;NAN;55304.00;323.897;0.033;232.86625417;-56.18203611;0.084206;1.38e-14;110.41;NAN;NAN;0.87;NAN;2.841;0.002;-1.674;6.205;NAN;pksmb,htru_pks;
823;J1532+2745;1.500;18.930;0.590;49666.00;43.481;54.495;233.04318583;27.76378417;1.124836;7.80e-16;14.69;0.00;13.00;0.80;NAN;1.695;1.380;0.677;7.786;NAN;gb1,ar4,gb4,lotaas;
824;J1532-5308;NAN;NAN;NAN;51587.00;325.780;2.434;233.14791667;-53.13500000;0.443825;6.50e-17;181.00;NAN;NAN;0.25;NAN;3.825;0.162;-2.149;5.340;NAN;pksmb,htru_pks;
825;J1532-56;NAN;NAN;NAN;56657.00;323.790;-0.321;233.07500000;-56.53333333;0.522977;NAN;282.00;NAN;NAN;0.10;NAN;4.440;-0.025;-2.623;4.918;NAN;htru_pks;
826;J1534-4428;NAN;NAN;NAN;55337.00;331.161;9.261;233.71666667;-44.46927778;1.221426;1.80e-16;137.30;NAN;NAN;0.70;NAN;9.640;1.551;-4.589;0.166;NAN;htru_pks;
827;J1534-46;NAN;NAN;NAN;54831.00;330.007;7.910;233.53333333;-46.23333333;0.364835;NAN;64.40;NAN;NAN;NAN;NAN;2.035;0.280;-1.008;6.754;NAN;pkssw;
828;J1534-5334;-27.000;-12.000;NAN;57600.00;325.715;1.944;233.53449167;-53.57212778;1.368882;1.43e-15;24.82;NAN;70.00;6.80;NAN;0.810;0.027;-0.456;7.831;NAN;mol1,mol2,pks1,pks70,pksmb,htru_pks;
829;J1534-5405;NAN;NAN;NAN;48360.60;325.463;1.483;233.63995833;-54.09436111;0.289689;1.54e-15;190.82;NAN;NAN;1.40;NAN;3.748;0.097;-2.124;5.414;NAN;pks1,pksmb,htru_pks;
830;J1535-4114;NAN;NAN;NAN;51500.00;333.175;11.821;233.82112500;-41.23419444;0.432866;4.07e-15;66.28;NAN;NAN;2.90;NAN;2.770;0.567;-1.223;6.081;NAN;pkssw,htru_pks;
831;J1535-4415;NAN;NAN;NAN;53000.00;331.447;9.324;233.98300000;-44.25233333;0.468402;4.05e-17;110.70;NAN;NAN;NAN;NAN;5.818;0.943;-2.744;3.457;NAN;pkssw,htru_pks;
832;J1535-5450;NAN;NAN;NAN;51448.00;325.194;0.757;233.99275000;-54.84055556;0.566734;1.43e-14;219.80;NAN;NAN;0.17;NAN;3.946;0.052;-2.252;5.260;NAN;pksmb,htru_pks;
833;J1535-5848;NAN;NAN;NAN;51760.00;322.797;-2.406;233.81983333;-58.80769444;0.307178;2.72e-15;107.00;NAN;NAN;0.35;NAN;2.971;-0.125;-1.795;6.136;NAN;pksmb,htru_pks;
834;J1536+17;NAN;NAN;NAN;NAN;27.983;50.988;234.06250000;17.81666667;0.933300;NAN;28.00;NAN;NAN;NAN;NAN;25.000;19.425;7.384;-5.397;NAN;misc;
835;J1536-3602;NAN;NAN;NAN;53000.00;336.555;15.841;234.07242500;-36.04966667;1.319759;7.90e-16;96.00;NAN;NAN;1.90;NAN;14.059;3.838;-5.381;-3.908;NAN;pkssw;
836;J1536-4948;NAN;NAN;NAN;55561.00;328.157;4.838;234.00000000;-49.80000000;0.003080;NAN;38.00;NAN;NAN;NAN;NAN;0.978;0.082;-0.514;7.672;GRS:2FGL_J1536.4-4949[naa+12];FermiAssoc;
837;J1536-5433;NAN;NAN;NAN;51138.00;325.374;0.980;234.02008333;-54.55416667;0.881438;1.91e-15;147.50;NAN;NAN;1.80;NAN;3.306;0.057;-1.878;5.780;NAN;pksmb,htru_pks;
838;J1536-5907;NAN;NAN;NAN;54211.60;322.722;-2.734;234.07383333;-59.11766667;0.557841;1.37e-15;316.00;NAN;NAN;0.22;NAN;8.135;-0.388;-4.922;2.034;NAN;pksmb,htru_pks;
839;J1537-4912;NAN;NAN;NAN;53000.00;328.705;5.181;234.36750000;-49.20083333;0.301311;1.93e-15;69.70;NAN;NAN;0.31;NAN;2.055;0.186;-1.063;6.751;NAN;pkssw,pksmb;
840;J1537-5153;NAN;NAN;NAN;51423.00;327.088;3.035;234.31554167;-51.88500000;1.528124;4.17e-15;93.00;NAN;NAN;0.07;NAN;2.744;0.145;-1.489;6.200;NAN;pksmb,htru_pks;
841;J1537-5645;NAN;NAN;NAN;51306.00;324.283;-0.943;234.46250000;-56.75111111;0.430464;2.78e-15;707.00;NAN;NAN;1.00;NAN;8.465;-0.139;-4.941;1.628;NAN;pksmb,htru_pks;
842;J1538+2345;NAN;NAN;NAN;56745.00;37.318;52.391;234.52529167;23.75111111;3.449385;6.89e-15;14.91;NAN;NAN;NAN;NAN;1.312;1.039;0.485;7.863;NAN;gb350;
843;J1538-5438;NAN;NAN;NAN;51138.00;325.645;0.679;234.70395833;-54.63805556;0.276726;1.42e-15;136.90;NAN;NAN;0.24;NAN;3.179;0.038;-1.794;5.876;NAN;pksmb,htru_pks;
844;J1538-5519;NAN;NAN;NAN;54221.10;325.219;0.134;234.67012500;-55.32944444;0.395731;4.10e-17;611.00;NAN;NAN;0.42;NAN;5.940;0.014;-3.388;3.621;NAN;pksmb,htru_pks;
845;J1538-5551;NAN;NAN;NAN;55421.00;324.912;-0.299;234.68756667;-55.86026389;0.104676;3.21e-15;604.60;NAN;NAN;0.33;NAN;5.985;-0.031;-3.440;3.603;NAN;pksmb,htru_pks;
846;J1538-5621;NAN;NAN;NAN;55912.00;324.608;-0.703;234.68037500;-56.36541667;1.908494;7.31e-15;150.00;NAN;NAN;0.14;NAN;3.313;-0.041;-1.919;5.799;NAN;htru_pks;
847;J1538-5638;NAN;NAN;NAN;51490.00;324.378;-0.871;234.52375000;-56.63666667;0.843980;7.12e-15;546.00;NAN;NAN;0.28;NAN;7.043;-0.107;-4.102;2.776;NAN;pksmb,htru_pks;
848;J1538-5732;NAN;NAN;NAN;51803.00;323.865;-1.617;234.57575000;-57.54147222;0.341213;4.55e-15;152.70;NAN;NAN;0.35;NAN;3.428;-0.097;-2.021;5.733;NAN;pksmb,htru_pks;
849;J1538-5750;NAN;NAN;NAN;51484.00;323.672;-1.843;234.53504167;-57.83808333;0.506568;4.20e-17;91.00;NAN;NAN;0.06;NAN;2.519;-0.081;-1.492;6.472;NAN;pksmb;
850;J1539-4828;NAN;NAN;NAN;54845.00;329.428;5.541;234.92016667;-48.48250000;1.272842;1.27e-15;117.00;NAN;NAN;0.20;NAN;3.465;0.335;-1.754;5.531;NAN;pksmb,htru_pks;
851;J1539-5521;NAN;NAN;NAN;51730.00;325.256;0.077;234.78320833;-55.35311111;1.004958;7.28e-16;380.00;NAN;NAN;0.14;NAN;4.912;0.007;-2.799;4.464;NAN;pksmb,htru_pks;
852;J1539-5626;49.000;-36.000;NAN;55408.00;324.621;-0.806;234.80858333;-56.44063889;0.243395;4.85e-15;175.85;NAN;NAN;5.00;NAN;3.536;-0.050;-2.047;5.617;NAN;pks1,pksmb,htru_pks;
853;J1539-6322;NAN;NAN;NAN;53000.00;320.488;-6.390;234.85291667;-63.38144444;1.630846;2.02e-16;163.50;NAN;NAN;NAN;NAN;7.095;-0.790;-4.486;3.060;NAN;pkssw,htru_pks;
854;J1540-5736;NAN;NAN;NAN;51309.00;324.109;-1.891;235.24591667;-57.61583333;0.612916;4.21e-16;304.50;NAN;NAN;0.24;NAN;6.349;-0.209;-3.720;3.359;NAN;pksmb,htru_pks;
855;J1541-42;NAN;NAN;NAN;NAN;333.514;10.214;235.47916667;-42.31388889;NAN;NAN;60.00;NAN;NAN;NAN;NAN;2.112;0.375;-0.927;6.640;NAN;htru_pks;
856;J1541-5535;NAN;NAN;NAN;51527.00;325.424;-0.337;235.45666667;-55.58361111;0.295838;7.50e-14;426.10;NAN;NAN;0.30;NAN;5.161;-0.030;-2.929;4.251;NAN;pksmb,htru_pks;
857;J1542-5034;NAN;NAN;NAN;57600.00;328.567;3.577;235.68883333;-50.56768333;0.599248;4.02e-15;91.00;NAN;21.00;0.30;NAN;2.732;0.170;-1.422;6.173;NAN;pks70,pksmb,htru_pks;
858;J1542-5133;NAN;NAN;NAN;51911.00;327.913;2.827;235.58304167;-51.55972222;1.783865;5.89e-16;186.00;NAN;NAN;0.27;NAN;4.061;0.200;-2.155;5.064;NAN;pksmb,htru_pks;
859;J1542-5303;NAN;NAN;NAN;51491.00;327.073;1.578;235.72712500;-53.06138889;1.207568;7.78e-14;265.70;NAN;NAN;0.35;NAN;5.370;0.148;-2.918;3.994;NAN;pksmb,htru_pks;
860;J1543-0620;-16.790;-0.300;0.310;49423.00;0.566;36.608;235.87557208;-6.34592556;0.709064;8.80e-16;18.38;0.00;40.00;2.00;NAN;3.226;1.924;0.026;5.911;NAN;mol2,gb2,pks70,lotaas;
861;J1543+0929;-7.610;-2.870;0.130;52275.00;17.811;45.775;235.91177083;9.48787194;0.748448;4.32e-16;34.98;0.00;78.00;5.90;NAN;5.900;4.228;1.259;4.582;NAN;misc,mol2,gb4,lotaas;
862;J1543-5013;NAN;NAN;NAN;51456.00;328.925;3.725;235.99270833;-50.23277778;0.644255;1.01e-14;211.00;NAN;NAN;0.17;NAN;5.809;0.377;-2.992;3.535;NAN;pksmb,htru_pks;
863;J1543-5459;NAN;NAN;NAN;55408.00;326.025;-0.044;235.98512500;-54.98750000;0.377138;5.21e-14;345.90;NAN;NAN;0.81;NAN;4.662;-0.004;-2.605;4.634;NAN;pksmb,htru_pks;
864;J1544-5308;NAN;NAN;NAN;57600.00;327.271;1.320;236.24928917;-53.14637583;0.178554;6.03e-17;35.16;NAN;23.00;5.00;NAN;0.932;0.021;-0.504;7.716;NAN;mol2,pks1,pks70,pksmb,htru_pks,ghrs;
865;J1546-5302;NAN;NAN;NAN;51398.00;327.470;1.301;236.53083333;-53.03972222;0.580840;1.18e-14;287.00;NAN;NAN;0.32;NAN;5.334;0.121;-2.868;4.004;NAN;pksmb,htru_pks;
866;J1546-59;NAN;NAN;NAN;56102.00;323.791;-3.390;236.50000000;-59.00000000;0.007800;NAN;168.30;NAN;NAN;0.20;NAN;3.888;-0.230;-2.293;5.368;NAN;pksmb;
867;J1547-0944;NAN;NAN;NAN;55170.00;358.314;33.573;236.94190833;-9.73550000;1.576925;2.94e-15;37.42;NAN;NAN;NAN;NAN;3.756;2.077;-0.092;5.372;NAN;gb350;
868;J1547-5750;NAN;NAN;NAN;52044.00;324.663;-2.601;236.87750000;-57.84150000;0.647198;2.56e-17;148.00;NAN;NAN;0.23;NAN;3.464;-0.157;-2.001;5.677;NAN;pksmb,htru_pks;
869;J1547-5839;NAN;NAN;NAN;51876.00;324.167;-3.243;236.89579167;-58.65272222;0.242190;5.94e-16;222.30;NAN;NAN;0.41;NAN;5.685;-0.322;-3.323;3.898;NAN;pksmb,htru_pks;
870;J1548-4821;NAN;NAN;NAN;51587.00;330.649;4.753;237.09691667;-48.36380556;0.145655;8.00e-19;126.00;NAN;NAN;0.51;NAN;3.439;0.285;-1.680;5.513;NAN;pksmb,htru_pks;
871;J1548-4927;NAN;NAN;NAN;51685.00;329.956;3.900;237.08112500;-49.46122222;0.602738;4.05e-15;141.20;NAN;NAN;0.69;NAN;3.518;0.239;-1.757;5.462;NAN;pksmb,htru_pks;
872;J1548-5607;NAN;NAN;NAN;55408.00;325.858;-1.359;237.18339583;-56.12619444;0.170938;1.07e-14;314.66;NAN;NAN;1.39;NAN;5.702;-0.135;-3.199;3.782;NAN;pksmb,htru_pks;
873;J1549+2113;NAN;NAN;NAN;51738.00;34.625;49.129;237.42058750;21.22413889;1.262471;8.54e-16;24.06;NAN;0.90;NAN;NAN;3.033;2.293;1.128;6.867;NAN;ar4,lotaas;
874;J1549-4848;NAN;NAN;NAN;55407.00;330.495;4.305;237.33783333;-48.80986111;0.288355;1.41e-14;55.98;NAN;17.00;1.60;NAN;1.308;0.098;-0.642;7.365;NAN;pks70,pksmb,htru_pks;
875;J1549-57;NAN;NAN;NAN;55196.00;325.127;-2.354;237.27083333;-57.36027778;0.737500;NAN;17.70;NAN;NAN;NAN;NAN;0.704;-0.029;-0.402;7.923;NAN;htru_pks;
876;J1549-5722;NAN;NAN;NAN;51685.00;325.198;-2.420;237.44958333;-57.36722222;0.497772;4.70e-17;102.00;NAN;NAN;0.10;NAN;2.858;-0.121;-1.630;6.155;NAN;pksmb,htru_pks;
877;J1550-5242;NAN;NAN;NAN;51335.00;328.144;1.198;237.51229167;-52.70194444;0.749659;1.78e-14;337.70;NAN;NAN;0.32;NAN;5.644;0.118;-2.978;3.707;NAN;pksmb,htru_pks;
878;J1550-5317;NAN;NAN;NAN;51535.00;327.780;0.737;237.52000000;-53.28916667;1.421124;9.35e-16;600.00;NAN;NAN;0.40;NAN;6.932;0.089;-3.696;2.636;NAN;pksmb,htru_pks;
879;J1550-5418;4.800;-7.900;NAN;54795.00;327.237;-0.132;237.72551608;-54.30669836;2.069833;2.32e-11;830.00;NAN;NAN;3.30;5.30;4.000;-0.009;-2.165;5.136;XRS:1E_1547.0-5408[gg07],SNR:G327.24-0.1;misc;
880;J1551-0658;NAN;NAN;NAN;55196.00;1.494;34.765;237.78006250;-6.96847222;0.007090;NAN;21.60;NAN;0.50;NAN;NAN;1.325;0.756;0.028;7.412;GRS:2FGL_J1549.7-0657[naa+12];FermiAssoc;
881;J1551-4424;NAN;NAN;NAN;55225.00;333.610;7.454;237.95008333;-44.41166667;0.674060;1.88e-16;66.50;NAN;NAN;1.00;NAN;2.227;0.289;-0.981;6.522;NAN;htru_pks;
882;J1551-5310;NAN;NAN;NAN;55383.00;328.033;0.669;237.92083333;-53.18347222;0.453448;1.95e-13;491.60;NAN;NAN;0.72;NAN;5.878;0.069;-3.112;3.514;NAN;pksmb,htru_pks;
883;J1551-6214;NAN;NAN;NAN;56108.00;322.300;-6.350;237.90328333;-62.23982500;0.198839;2.28e-17;122.00;NAN;NAN;0.31;NAN;3.901;-0.431;-2.371;5.432;NAN;htru_pks;
884;J1552-4937;-3.000;-13.000;NAN;54033.00;330.342;3.372;238.05529542;-49.63048444;0.006284;1.90e-20;114.19;NAN;NAN;0.14;NAN;3.060;0.180;-1.512;5.845;NAN;pksmb;
885;J1552+5437;NAN;NAN;NAN;56285.00;85.594;47.210;238.22221321;54.61827406;0.002428;2.80e-21;22.90;NAN;NAN;NAN;NAN;2.636;1.934;1.785;8.362;GRS:3FGL_J1553.1+5437[pbh+17];misc;
886;J1553-5456;NAN;NAN;NAN;57600.00;327.186;-0.901;238.49837500;-54.93506944;1.081347;1.57e-14;210.00;NAN;13.00;0.90;NAN;3.786;-0.060;-2.051;5.318;NAN;mol2,pks70,pksmb,htru_pks;
887;J1554+18;NAN;NAN;NAN;NAN;30.685;47.073;238.57083333;18.06666667;NAN;NAN;24.00;NAN;NAN;NAN;NAN;2.753;2.016;0.957;6.888;NAN;ar327;
888;J1554-5209;NAN;NAN;NAN;55039.00;329.006;1.194;238.61312500;-52.16063889;0.125230;2.29e-15;130.80;NAN;NAN;NAN;NAN;3.079;0.064;-1.585;5.861;NAN;pksmb,htru_pks;
889;J1554-5512;NAN;NAN;NAN;51491.00;327.087;-1.175;238.66875000;-55.20916667;3.418039;3.12e-14;450.00;NAN;NAN;0.11;NAN;6.397;-0.131;-3.475;3.131;NAN;pksmb;
890;J1555+01;NAN;NAN;NAN;NAN;10.448;38.730;238.99166667;1.13333333;NAN;NAN;18.50;NAN;NAN;NAN;NAN;1.253;0.784;0.177;7.539;NAN;misc;
891;J1555-0515;NAN;NAN;NAN;54985.00;3.973;34.969;238.91707083;-5.26594444;0.975410;2.05e-15;23.46;NAN;NAN;NAN;NAN;1.548;0.887;0.088;7.235;NAN;gb350;
892;J1555-2341;NAN;NAN;NAN;49899.00;348.441;22.500;238.88826808;-23.68607516;0.532578;6.94e-16;51.90;NAN;7.60;0.90;NAN;3.747;1.434;-0.694;5.108;NAN;mol2,pks70,pkssw;
893;J1555-3134;NAN;NAN;NAN;49874.00;342.699;16.757;238.82480000;-31.57225000;0.518110;6.22e-17;73.05;NAN;19.00;3.80;NAN;5.299;1.528;-1.509;3.656;NAN;mol2,pks70,pkssw;
894;J1556-5358;NAN;NAN;NAN;51398.00;328.117;-0.436;239.21458333;-53.98194444;0.994681;1.04e-14;436.00;NAN;NAN;0.53;NAN;5.020;-0.038;-2.651;4.238;NAN;pksmb,htru_pks;
895;J1557-4258;-3.000;10.000;NAN;48017.00;335.273;7.952;239.25107500;-42.97018333;0.329187;3.30e-16;144.50;0.00;40.00;2.70;NAN;8.630;1.194;-3.575;0.737;NAN;pks70,pkssw,htru_pks;
896;J1557-5151;NAN;NAN;NAN;57359.00;329.563;1.131;239.37208333;-51.85233333;0.408155;7.54e-17;464.00;NAN;NAN;0.31;NAN;6.485;0.128;-3.285;2.910;NAN;htru_pks;
897;J1558-5419;NAN;NAN;NAN;51138.00;328.100;-0.870;239.67270833;-54.32388889;0.594575;6.04e-15;657.00;NAN;NAN;0.40;NAN;7.430;-0.113;-3.926;2.193;NAN;pksmb,htru_pks;
898;J1558-5756;NAN;NAN;NAN;53139.00;325.731;-3.604;239.62720833;-57.94058333;1.122342;1.86e-13;127.80;NAN;NAN;0.19;NAN;3.325;-0.209;-1.869;5.758;NAN;pksmb;
899;J1558-67;NAN;NAN;NAN;55217.00;319.345;-10.900;239.58750000;-67.59972222;0.267268;NAN;105.00;NAN;NAN;NAN;NAN;5.402;-1.022;-3.456;4.476;NAN;htru_pks;
900;J1559-44;NAN;NAN;NAN;56657.00;334.872;6.936;239.75000000;-44.00000000;1.169890;NAN;122.00;NAN;NAN;NAN;NAN;4.804;0.580;-2.025;4.182;NAN;ghrss;
901;J1559-4438;1.520;13.150;0.384;54100.00;334.540;6.367;239.92302552;-44.64608383;0.257056;1.02e-15;56.10;NAN;110.00;37.10;NAN;2.300;0.255;-0.983;6.436;NAN;mol1,mol2,pks70,pkssw,htru_pks,ghrs;
902;J1559-5545;NAN;NAN;NAN;57600.00;327.236;-2.025;239.83625000;-55.76305556;0.957267;1.99e-14;212.90;NAN;15.00;0.72;NAN;4.133;-0.146;-2.235;5.027;NAN;mol2,pks70,pksmb,htru_pks;
903;J1600-5044;-5.000;-13.000;NAN;57600.00;330.690;1.631;240.22089583;-50.73925000;0.192605;5.06e-15;262.79;0.01;NAN;21.00;NAN;6.900;0.196;-3.376;2.486;NAN;misc,mol1,pks1,pksmb,htru_pks;
904;J1600-5751;NAN;NAN;NAN;55377.00;325.971;-3.697;240.08291667;-57.85425000;0.194456;2.13e-15;176.55;NAN;20.00;2.50;NAN;4.183;-0.270;-2.336;5.041;NAN;mol2,pks1,pks70,pksmb,htru_pks;
905;J1600-5916;NAN;NAN;NAN;53116.00;325.057;-4.798;240.14583333;-59.28305556;1.247666;8.87e-16;177.00;NAN;NAN;0.33;NAN;5.657;-0.473;-3.229;3.879;NAN;pksmb;
906;J1601-50;NAN;NAN;NAN;50993.60;330.985;1.846;240.35000000;-50.38333333;0.860777;NAN;59.00;NAN;NAN;0.40;NAN;1.367;0.044;-0.663;7.305;NAN;pksmb,htru_pks;
907;J1601-5244;NAN;NAN;NAN;51071.00;329.448;0.065;240.36375000;-52.73583333;2.559357;7.21e-16;273.00;NAN;NAN;0.13;NAN;4.088;0.005;-2.078;4.980;NAN;pksmb,htru_pks;
908;J1601-5335;NAN;NAN;NAN;55391.00;328.935;-0.628;240.47837500;-53.59558333;0.288479;6.23e-14;195.20;NAN;NAN;0.25;NAN;3.576;-0.039;-1.845;5.437;NAN;pksmb,htru_pks;
909;J1602-4957;NAN;NAN;NAN;51487.00;331.374;2.070;240.57583333;-49.95888889;0.819990;1.59e-14;319.00;NAN;NAN;0.17;NAN;6.029;0.218;-2.887;3.211;NAN;pksmb,htru_pks;
910;J1602-5100;NAN;NAN;NAN;57600.00;330.688;1.285;240.57804167;-51.00169444;0.864286;6.94e-14;170.79;0.00;45.00;7.00;NAN;8.000;0.179;-3.916;1.526;NAN;misc,mol2,pks1,pks70,pksmb,htru_pks;
911;J1603+18;NAN;NAN;NAN;57022.00;32.849;45.280;240.89166667;18.85000000;0.503000;NAN;29.70;NAN;NAN;NAN;NAN;25.000;17.764;9.542;-6.278;NAN;ar327;
912;J1603-2531;NAN;NAN;NAN;57600.00;348.375;19.985;240.77010542;-25.52997222;0.283071;1.59e-15;53.76;NAN;15.00;NAN;NAN;3.412;1.166;-0.646;5.359;NAN;pks70,pkssw;
913;J1603-2712;NAN;NAN;NAN;49911.00;347.126;18.767;240.78359696;-27.22433718;0.778313;3.01e-15;46.20;NAN;20.00;1.70;NAN;2.306;0.742;-0.486;6.371;NAN;mol2,pks70,pkssw;
914;J1603-3539;NAN;NAN;NAN;51650.00;341.218;12.526;240.97373750;-35.66586111;0.141909;1.24e-16;77.50;NAN;NAN;0.90;NAN;4.100;0.889;-1.289;4.711;NAN;pkssw,htru_pks;
915;J1603-5312;NAN;NAN;NAN;57693.00;329.402;-0.533;240.96200000;-53.21611111;0.839221;4.96e-14;142.00;NAN;NAN;0.25;NAN;3.113;-0.029;-1.584;5.821;NAN;htru_pks;
916;J1603-5657;NAN;NAN;NAN;49524.43;326.884;-3.309;240.88108333;-56.96227500;0.496077;2.79e-15;264.07;NAN;8.00;0.90;NAN;6.730;-0.388;-3.671;2.873;NAN;pks70,pksmb,htru_pks;
917;J1604-3142;NAN;NAN;NAN;57388.00;344.125;15.385;241.10000000;-31.65000000;0.883883;NAN;63.00;NAN;NAN;NAN;NAN;3.405;0.903;-0.898;5.342;NAN;pks_superb;
918;J1604-44;NAN;NAN;NAN;55196.00;335.142;5.744;241.13333333;-44.71666667;1.389200;NAN;175.00;NAN;NAN;NAN;NAN;7.833;0.784;-3.276;1.428;NAN;NAN;
919;J1604-4718;NAN;NAN;NAN;52897.00;333.399;3.814;241.12254167;-47.31330556;0.527466;4.96e-15;52.00;NAN;NAN;0.22;NAN;1.214;0.081;-0.542;7.417;NAN;pksmb,htru_pks;
920;J1604-4909;-12.000;9.000;NAN;57600.00;332.152;2.442;241.09573333;-49.16610556;0.327419;1.02e-15;140.80;0.00;44.00;6.10;NAN;3.225;0.137;-1.505;5.651;NAN;mol2,pks1,pks70,pksmb,htru_pks;
921;J1604-7203;NAN;NAN;NAN;49529.40;316.670;-14.554;241.12157083;-72.05846111;0.341403;8.40e-17;54.37;NAN;10.00;NAN;NAN;1.595;-0.401;-1.059;7.377;NAN;pks70,htru_pks;
