PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1741-2054,265.48867,8.3E-05,-20.90328,8.3E-05,-63,12,-89,9,NAN,0,54933,,PSR,,0.41370012084,1.8E-10,1.6983E-14,6E-18,4.7,0.1,0.3,0.273,2680000000000,GRS:2FGL_J1741.9-2054[naa+12]
J1741-3927,265.32533,2.1E-05,-39.46061,5.6E-05,20,15,-6,59,NAN,0,57600,,PSR,,0.51221235513,6E-12,1.7122E-15,3E-19,158.5,0.6,4.62,4.624,948000000000,NAN
J1743-3150,265.90296,3.3E-05,-31.8396,0.00025,-11,17,-136,131,NAN,0,50241,S.J.Dang+ 2020,PSR,CT,2.41457551997,6E-11,1.207753E-13,6E-19,193.05,0.07,3.33,3.332,17300000000000,NAN
J1744-1134,266.122524121,4.6E-09,-11.58185591,2.2E-08,18.797,0.004,-9.41,0.02,2.44,0.05,54500,Perera+ 2019,PSR,,0.004074545941439,7E-18,8.93471E-21,5E-26,3.13695,0,0.4,0.148,193000000,GRS:2FGL_J1744.6-1135[naa+12]
J1744-7619,266.002033,8.3E-06,-76.320753,2.5E-06,-21,3,-7,3,NAN,0,55716,,Gamma-/X-ray PSR,,0.004687524094895,1.1E-15,9.679E-21,1.8E-23,NAN,0,NAN,NAN,216000000,GRS:3FGL_J1744.1-7619[aaa+15]
J1745-0952,266.2880617,8.3E-07,-9.877689,4.2E-06,-21.2,1.1,11,5,NAN,0,53200,,PSR,,0.019376303441129,1.9E-15,9.246E-20,5E-23,64.474,0.014,0.23,0.226,1350000000,NAN
J1745+1017,266.390988,2.9E-06,10.2979231,5.6E-07,6,1,-5,1,NAN,0,55400,,PSR,,0.00265212967109,4E-16,2.729E-21,1.5E-23,23.97,0.002,1.21,1.214,86100000,GRS:2FGL_J1745.6+1015
J1745-2900,266.417359,3.3E-06,-29.008304,2.8E-06,2.45,0.32,5.89,0.11,NAN,0,56899,,MAG,,3.76373308,1.7E-08,1.756E-11,3E-14,1778,3,8.3,8.289,260000000000000,AXP:SGR_J1745-29[kbk+13]
J1745-3040,266.48465,5E-05,-30.673,0.00031,15,1,47,7,NAN,0,55276,,PSR,,0.3674337248626,1.1E-12,1.067181E-14,6E-20,88.373,0.004,0.2,2.343,2000000000000,NAN
J1747-4036,266.95298545,1.3E-07,-40.6152193,4E-07,-0.2,0.8,-5,1,0.4,0.7,56676,Perera+ 2019,PSR,,0.001645609614493,1.1E-16,1.3142E-20,5E-24,152.9595,0.0005,7.15,7.151,149000000,GRS:3FGL_J1747.6-4037[aaa+15]
